縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
臺北市,健康社會住宅,臺北市政府,507,103/10/14,103/12/17,106/12/26,新完工
臺北市,臺北市大安區懷生段二小段16地號等6筆土地都市更新案,住都中心,2,-,106/7/11,111/3/24,新完工
臺北市,萬華青年社會住宅1區,臺北市政府,273,104/11/11,105/2/18,107/12/22,新完工
臺北市,莒光社會住宅,臺北市政府,201,106/10/3,106/12/28,111/6/14,新完工
臺北市,福星社會住宅,臺北市政府,255,108/3/25,108/10/23,112/6/27,新完工
臺北市,臺北市萬華區漢中段三小段24地號等39筆土地都市更新案,住都中心,4,-,107/8/8,111/7/26,新完工
臺北市,大橋頭社會住宅,臺北市政府,47,-,105/4/7,108/6/25,新完工
臺北市,明倫社會住宅,臺北市政府,380,106/1/12,106/3/10,109/8/14,新完工
臺北市,斯文社會住宅,臺北市政府,138,107/5/17,107/9/13,111/1/24,新完工
臺北市,新興社會住宅(新興市場整建),臺北市政府,37,-,107/7/16,107/12/7,新完工
臺北市,臺北市中山區北安段三小段818地號等12筆土地都市更新案,住都中心,4,-,108/6/6,111/4/19,新完工
臺北市,臺北市中山區德惠段二小段813-1地號等6筆土地都市更新案,住都中心,1,-,109/4/24,112/2/3,新完工
臺北市,興隆社會住宅D2區,臺北市政府,510,103/4/16,103/11/13,107/5/9,新完工
臺北市,木柵社會住宅,臺北市政府,119,106/5/17,106/8/17,109/4/27,新完工
臺北市,臺北市文山區萬隆段二小段519地號等23筆土地都市更新案,住都中心,40,-,107/7/16,112/4/20,新完工
臺北市,臺北市文山區興安段四小段122地號等27筆土地都市更新案,住都中心,12,-,108/12/2,112/3/27,新完工
臺北市,臺北市文山區萬芳段二小段183-1地號等30筆土地都市更新案,住都中心,1,-,109/8/11,112/6/1,新完工
臺北市,中南社會住宅,臺北市政府,119,106/7/19,106/11/9,109/12/31,新完工
臺北市,東明社會住宅,臺北市政府,700,104/12/28,105/2/24,108/7/31,新完工
臺北市,小彎社會住宅,臺北市政府,341,106/11/15,107/3/8,110/10/23,新完工
臺北市,瑞光社會住宅,臺北市政府,389,106/5/12,106/10/5,109/11/21,新完工
臺北市,行善社會住宅,臺北市政府,526,107/8/17,107/10/29,111/8/23,新完工
臺北市,金龍都更分回戶,臺北市政府,8,-,103/6/9,108/4/18,新完工
臺北市,臺北市內湖區石潭段三小段482地號等8筆土地都市更新案,住都中心,1,-,107/10/30,110/10/5,新完工
臺北市,臺北市士林區三玉段五小段445地號等20筆土地都市更新案,住都中心,2,-,108/6/3,110/12/22,新完工
臺北市,洲美社會住宅,臺北市政府,144,-,105/3/15,106/7/11,新完工
臺北市,新奇岩社會住宅,臺北市政府,288,106/2/21,106/5/26,110/3/31,新完工
臺北市,信義區廣慈社會住宅2區,臺北市政府,522,106/10/6,107/1/10,111/1/21,新完工
臺北市,信義區廣慈社會住宅1區,臺北市政府,522,106/10/6,107/1/10,110/12/30,新完工
